name,yahoo,sector
Le Travenues Technology,IXIGO.NS,Consumer Services
Lloyds Engineering Works,LLOYDSENGG.NS,Capital Goods
Lloyds Enterprises,LLOYDSENT.NS,Metals & Mining
Lumax Auto Technologies,LUMAXTECH.NS,Automobile and Auto Components
MOIL,MOIL.NS,Metals & Mining
MSTC,MSTCLTD.NS,Services
MTAR Technologies,MTARTECH.NS,Capital Goods
Maharashtra Scooters,MAHSCOOTER.NS,Financial Services
Maharashtra Seamless,MAHSEAMLES.NS,Capital Goods
Manorama Industries,MANORAMA.NS,Fast Moving Consumer Goods
Marksans Pharma,MARKSANS.NS,Healthcare
Mastek,MASTEK.NS,Information Technology
Medplus Health Services,MEDPLUS.NS,Consumer Services
Metropolis Healthcare,METROPOLIS.NS,Healthcare
Mishra Dhatu Nigam,MIDHANI.NS,Capital Goods
Mrs. Bectors Food Specialities,BECTORFOOD.NS,Fast Moving Consumer Goods
NEOGEN CHEMICALS LTD.,NEOGEN.NS,Chemicals
NESCO,NESCO.NS,Services
National Fertilizers,NFL.NS,Chemicals
Nazara Technologies,NAZARA.NS,Media Entertainment & Publication
Network18 Media & Investments,NETWORK18.NS,Media Entertainment & Publication
Optiemus Infracom,OPTIEMUS.NS,Telecommunication
Orient Cement,ORIENTCEM.NS,Construction Materials
Orkla India,ORKLAINDIA.NS,Fast Moving Consumer Goods
Oswal Pumps,OSWALPUMPS.NS,Capital Goods
P N Gadgil Jewellers,PNGJL.NS,Consumer Durables
PC Jeweller,PCJEWELLER.NS,Consumer Durables
PNC Infratech,PNCINFRA.NS,Construction
PTC India,PTC.NS,Power
Paras Defence and Space Technologies,PARAS.NS,Capital Goods
Park Medi World,PARKHOSPS.NS,Healthcare
Pearl Global Industries,PGIL.NS,Textiles
Piccadily Agro Industries,PICCADIL.NS,Fast Moving Consumer Goods
Power Mech Projects,POWERMECH.NS,Construction
Praj Industries,PRAJIND.NS,Capital Goods
Pricol,PRICOLLTD.NS,Automobile and Auto Components
Prism Johnson,PRSMJOHNSN.NS,Construction Materials
Privi Speciality Chemicals,PRIVISCL.NS,Chemicals
Prudent Corporate Advisory Services,PRUDENT.NS,Financial Services
Puravankara,PURVA.NS,Realty
Quess Corp,QUESS.NS,Services
Rain Industries,RAIN.NS,Chemicals
Rallis India,RALLIS.NS,Chemicals
Rashtriya Chemicals & Fertilizers,RCF.NS,Chemicals
Rategain Travel Technologies,RATEGAIN.NS,Information Technology
Ratnamani Metals & Tubes,RATNAMANI.NS,Capital Goods
RattanIndia Enterprises,RTNINDIA.NS,Consumer Services
RattanIndia Power,RTNPOWER.NS,Power
Raymond Lifestyle,RAYMONDLSL.NS,Textiles
Redtape,REDTAPE.NS,Consumer Durables
Refex Industries,REFEX.NS,Utilities
Relaxo Footwears,RELAXO.NS,Consumer Durables
Religare Enterprises,RELIGARE.NS,Financial Services
Restaurant Brands Asia,RBA.NS,Consumer Services
Route Mobile,ROUTE.NS,Telecommunication
Rubicon Research,RUBICON.NS,Healthcare
SKF India (Industrial),SKFINDUS.NS,Capital Goods
SKF India,SKFINDIA.NS,Automobile and Auto Components
SKY GOLD AND DIAMONDS,SKYGOLD.NS,Consumer Durables
SML Mahindra,SMLMAH.NS,Capital Goods
Saatvik Green Energy,SAATVIKGL.NS,Capital Goods
Safari Industries (India),SAFARI.NS,Consumer Durables
Samhi Hotels,SAMHI.NS,Consumer Services
Sandur Manganese & Iron Ores,SANDUMA.NS,Metals & Mining
Sanofi Consumer Healthcare India,SANOFICONR.NS,Healthcare
Sansera Engineering,SANSERA.NS,Automobile and Auto Components
Senco Gold,SENCO.NS,Consumer Durables
Seshaasai Technologies,STYL.NS,Financial Services
Shaily Engineering Plastics,SHAILY.NS,Consumer Durables
Shakti Pumps (India),SHAKTIPUMP.NS,Capital Goods
Sharda Cropchem,SHARDACROP.NS,Chemicals
Share India Securities,SHAREINDIA.NS,Financial Services
Sheela Foam,SFL.NS,Consumer Durables
Shilpa Medicare,SHILPAMED.NS,Healthcare
Shree Renuka Sugars,RENUKA.NS,Fast Moving Consumer Goods
Shriram Pistons & Rings,SHRIPISTON.NS,Automobile and Auto Components
Skipper,SKIPPER.NS,Capital Goods
Smartworks Coworking Spaces,SMARTWORKS.NS,Services
South Indian Bank,SOUTHBANK.NS,Financial Services
Sri Lotus Developers and Realty,LOTUSDEV.NS,Realty
Star Cement,STARCEMENT.NS,Construction Materials
Sterling and Wilson Renewable Energy,SWSOLAR.NS,Construction
Strides Pharma Science,STAR.NS,Healthcare
Styrenix Performance Materials,STYRENIX.NS,Chemicals
Subros,SUBROS.NS,Capital Goods
Sudarshan Chemical Industries,SUDARSCHEM.NS,Chemicals
Sudeep Pharma,SUDEEPPHRM.NS,Chemicals
Sun Pharma Advanced Research Company,SPARC.NS,Healthcare
Sunteck Realty,SUNTECK.NS,Realty
Supriya Lifescience,SUPRIYA.NS,Healthcare
Surya Roshni,SURYAROSNI.NS,Capital Goods
TARC,TARC.NS,Realty
TD Power Systems,TDPOWERSYS.NS,Capital Goods
TSF Investments,TSFINV.NS,Financial Services
TVS Supply Chain Solutions,TVSSCS.NS,Services
Tamilnad Mercantile Bank,TMB.NS,Financial Services
Tanla Platforms,TANLA.NS,Information Technology
Texmaco Rail & Eng.,TEXRAIL.NS,Capital Goods
Thangamayil Jewellery,THANGAMAYL.NS,Consumer Durables
The Anup Engineering,ANUP.NS,Capital Goods
Thomas Cook (India),THOMASCOOK.NS,Consumer Services
Thyrocare Technologies,THYROCARE.NS,Healthcare
Tilaknagar Industries,TI.NS,Fast Moving Consumer Goods
Time Technoplast,TIMETECHNO.NS,Capital Goods
Tips Music,TIPSMUSIC.NS,Media Entertainment & Publication
Transrail Lighting,TRANSRAILL.NS,Capital Goods
Triveni Engineering & Industries,TRIVENI.NS,Fast Moving Consumer Goods
Ujjivan Small Finance Bank,UJJIVANSFB.NS,Financial Services
V-Guard Industries,VGUARD.NS,Consumer Durables
V-Mart Retail,VMART.NS,Consumer Services
V.I.P. Industries,VIPIND.NS,Consumer Durables
V2 Retail,V2RETAIL.NS,Consumer Services
Va Tech Wabag,WABAG.NS,Utilities
