name,yahoo,sector,universe
JK Paper,JKPAPER.NS,Forest Materials,microcap250
Jamna Auto Industries,JAMNAAUTO.NS,Automobile and Auto Components,microcap250
Jana Small Finance Bank,JSFB.NS,Financial Services,microcap250
Jayaswal Neco Industries,JAYNECOIND.NS,Capital Goods,microcap250
Jeena Sikho Lifecare,JSLL.NS,Consumer Services,microcap250
Jupiter Life Line Hospitals,JLHL.NS,Healthcare,microcap250
Justdial,JUSTDIAL.NS,Consumer Services,microcap250
Jyothy Labs,JYOTHYLAB.NS,Fast Moving Consumer Goods,microcap250
KNR Constructions,KNRCON.NS,Construction,microcap250
KPI Green Energy,KPIGREEN.NS,Power,microcap250
KRBL,KRBL.NS,Fast Moving Consumer Goods,microcap250
KSB,KSB.NS,Capital Goods,microcap250
Kansai Nerolac Paints,KANSAINER.NS,Consumer Durables,microcap250
Karnataka Bank,KTKBANK.NS,Financial Services,microcap250
Kaveri Seed Company,KSCL.NS,Fast Moving Consumer Goods,microcap250
Kirloskar Brothers,KIRLOSBROS.NS,Capital Goods,microcap250
Kirloskar Pneumatic Company,KIRLPNU.NS,Capital Goods,microcap250
Kitex Garments,KITEX.NS,Textiles,microcap250
Laxmi Organic Industries,LXCHEM.NS,Chemicals,microcap250
Le Travenues Technology,IXIGO.NS,Consumer Services,microcap250
Lloyds Engineering Works,LLOYDSENGG.NS,Capital Goods,microcap250
Lloyds Enterprises,LLOYDSENT.NS,Metals & Mining,microcap250
Lumax Auto Technologies,LUMAXTECH.NS,Automobile and Auto Components,microcap250
MOIL,MOIL.NS,Metals & Mining,microcap250
MSTC,MSTCLTD.NS,Services,microcap250
Maharashtra Scooters,MAHSCOOTER.NS,Financial Services,microcap250
Maharashtra Seamless,MAHSEAMLES.NS,Capital Goods,microcap250
Manorama Industries,MANORAMA.NS,Fast Moving Consumer Goods,microcap250
Marksans Pharma,MARKSANS.NS,Healthcare,microcap250
Mastek,MASTEK.NS,Information Technology,microcap250
Medplus Health Services,MEDPLUS.NS,Consumer Services,microcap250
Metropolis Healthcare,METROPOLIS.NS,Healthcare,microcap250
Mishra Dhatu Nigam,MIDHANI.NS,Capital Goods,microcap250
Mrs. Bectors Food Specialities,BECTORFOOD.NS,Fast Moving Consumer Goods,microcap250
NEOGEN CHEMICALS LTD.,NEOGEN.NS,Chemicals,microcap250
NESCO,NESCO.NS,Services,microcap250
National Fertilizers,NFL.NS,Chemicals,microcap250
Nazara Technologies,NAZARA.NS,Media Entertainment & Publication,microcap250
Network18 Media & Investments,NETWORK18.NS,Media Entertainment & Publication,microcap250
Optiemus Infracom,OPTIEMUS.NS,Telecommunication,microcap250
Orient Cement,ORIENTCEM.NS,Construction Materials,microcap250
Orkla India,ORKLAINDIA.NS,Fast Moving Consumer Goods,microcap250
Oswal Pumps,OSWALPUMPS.NS,Capital Goods,microcap250
P N Gadgil Jewellers,PNGJL.NS,Consumer Durables,microcap250
PC Jeweller,PCJEWELLER.NS,Consumer Durables,microcap250
PNC Infratech,PNCINFRA.NS,Construction,microcap250
PTC India,PTC.NS,Power,microcap250
Paras Defence and Space Technologies,PARAS.NS,Capital Goods,microcap250
Park Medi World,PARKHOSPS.NS,Healthcare,microcap250
Pearl Global Industries,PGIL.NS,Textiles,microcap250
Piccadily Agro Industries,PICCADIL.NS,Fast Moving Consumer Goods,microcap250
Power Mech Projects,POWERMECH.NS,Construction,microcap250
Praj Industries,PRAJIND.NS,Capital Goods,microcap250
Pricol,PRICOLLTD.NS,Automobile and Auto Components,microcap250
Prism Johnson,PRSMJOHNSN.NS,Construction Materials,microcap250
Privi Speciality Chemicals,PRIVISCL.NS,Chemicals,microcap250
Prudent Corporate Advisory Services,PRUDENT.NS,Financial Services,microcap250
Puravankara,PURVA.NS,Realty,microcap250
Quess Corp,QUESS.NS,Services,microcap250
Rain Industries,RAIN.NS,Chemicals,microcap250
Rallis India,RALLIS.NS,Chemicals,microcap250
Rashtriya Chemicals & Fertilizers,RCF.NS,Chemicals,microcap250
Rategain Travel Technologies,RATEGAIN.NS,Information Technology,microcap250
Ratnamani Metals & Tubes,RATNAMANI.NS,Capital Goods,microcap250
RattanIndia Enterprises,RTNINDIA.NS,Consumer Services,microcap250
RattanIndia Power,RTNPOWER.NS,Power,microcap250
Raymond Lifestyle,RAYMONDLSL.NS,Textiles,microcap250
Redtape,REDTAPE.NS,Consumer Durables,microcap250
