name,yahoo,sector,universe
Gland Pharma,GLAND.NS,Healthcare,nifty500
Glaxosmithkline Pharmaceuticals,GLAXO.NS,Healthcare,nifty500
Glenmark Pharmaceuticals,GLENMARK.NS,Healthcare,nifty500
Global Health,MEDANTA.NS,Healthcare,nifty500
Go Digit General Insurance,GODIGIT.NS,Financial Services,nifty500
Godawari Power & Ispat,GPIL.NS,Capital Goods,nifty500
Godfrey Phillips India,GODFRYPHLP.NS,Fast Moving Consumer Goods,nifty500
Godrej Consumer Products,GODREJCP.NS,Fast Moving Consumer Goods,nifty500
Godrej Industries,GODREJIND.NS,Diversified,nifty500
Godrej Properties,GODREJPROP.NS,Realty,nifty500
Granules India,GRANULES.NS,Healthcare,nifty500
Graphite India,GRAPHITE.NS,Capital Goods,nifty500
Grasim Industries,GRASIM.NS,Construction Materials,nifty500
Gravita India,GRAVITA.NS,Metals & Mining,nifty500
Great Eastern Shipping Co.,GESHIP.NS,Services,nifty500
Gujarat Fluorochemicals,FLUOROCHEM.NS,Chemicals,nifty500
Gujarat Mineral Development Corporation,GMDCLTD.NS,Metals & Mining,nifty500
H.E.G.,HEG.NS,Capital Goods,nifty500
HBL Engineering,HBLENGINE.NS,Capital Goods,nifty500
HCL Technologies,HCLTECH.NS,Information Technology,nifty500
HDB Financial Services,HDBFS.NS,Financial Services,nifty500
HDFC Asset Management Company,HDFCAMC.NS,Financial Services,nifty500
HDFC Bank,HDFCBANK.NS,Financial Services,nifty500
HDFC Life Insurance Company,HDFCLIFE.NS,Financial Services,nifty500
HFCL,HFCL.NS,Telecommunication,nifty500
Havells India,HAVELLS.NS,Consumer Durables,nifty500
Hero MotoCorp,HEROMOTOCO.NS,Automobile and Auto Components,nifty500
Hexaware Technologies,HEXT.NS,Information Technology,nifty500
Himadri Speciality Chemical,HSCL.NS,Chemicals,nifty500
Hindalco Industries,HINDALCO.NS,Metals & Mining,nifty500
Hindustan Aeronautics,HAL.NS,Capital Goods,nifty500
Hindustan Copper,HINDCOPPER.NS,Metals & Mining,nifty500
Hindustan Petroleum Corporation,HINDPETRO.NS,Oil Gas & Consumable Fuels,nifty500
Hindustan Unilever,HINDUNILVR.NS,Fast Moving Consumer Goods,nifty500
Hindustan Zinc,HINDZINC.NS,Metals & Mining,nifty500
Hitachi Energy India,POWERINDIA.NS,Capital Goods,nifty500
Home First Finance Company India,HOMEFIRST.NS,Financial Services,nifty500
Honasa Consumer,HONASA.NS,Fast Moving Consumer Goods,nifty500
Honeywell Automation India,HONAUT.NS,Capital Goods,nifty500
Housing & Urban Development Corporation,HUDCO.NS,Financial Services,nifty500
Hyundai Motor India,HYUNDAI.NS,Automobile and Auto Components,nifty500
ICICI Bank,ICICIBANK.NS,Financial Services,nifty500
ICICI Lombard General Insurance Company,ICICIGI.NS,Financial Services,nifty500
ICICI Prudential Asset Management Company,ICICIAMC.NS,Financial Services,nifty500
ICICI Prudential Life Insurance Company,ICICIPRULI.NS,Financial Services,nifty500
IDBI Bank,IDBI.NS,Financial Services,nifty500
IDFC First Bank,IDFCFIRSTB.NS,Financial Services,nifty500
IFCI,IFCI.NS,Financial Services,nifty500
IIFL Finance,IIFL.NS,Financial Services,nifty500
IRB Infrastructure Developers,IRB.NS,Construction,nifty500
IRCON International,IRCON.NS,Construction,nifty500
ITC Hotels,ITCHOTELS.NS,Consumer Services,nifty500
ITC,ITC.NS,Fast Moving Consumer Goods,nifty500
ITI,ITI.NS,Telecommunication,nifty500
Indegene,INDGN.NS,Healthcare,nifty500
India Cements,INDIACEM.NS,Construction Materials,nifty500
Indiamart Intermesh,INDIAMART.NS,Consumer Services,nifty500
Indian Bank,INDIANB.NS,Financial Services,nifty500
Indian Energy Exchange,IEX.NS,Financial Services,nifty500
Indian Hotels Co.,INDHOTEL.NS,Consumer Services,nifty500
Indian Oil Corporation,IOC.NS,Oil Gas & Consumable Fuels,nifty500
Indian Overseas Bank,IOB.NS,Financial Services,nifty500
Indian Railway Catering And Tourism Corporation,IRCTC.NS,Consumer Services,nifty500
Indian Railway Finance Corporation,IRFC.NS,Financial Services,nifty500
Indian Renewable Energy Development Agency,IREDA.NS,Financial Services,nifty500
Indraprastha Gas,IGL.NS,Oil Gas & Consumable Fuels,nifty500
Indus Towers,INDUSTOWER.NS,Telecommunication,nifty500
IndusInd Bank,INDUSINDBK.NS,Financial Services,nifty500
Info Edge (India),NAUKRI.NS,Consumer Services,nifty500
Infosys,INFY.NS,Information Technology,nifty500
Inox Wind,INOXWIND.NS,Capital Goods,nifty500
Intellect Design Arena,INTELLECT.NS,Information Technology,nifty500
InterGlobe Aviation,INDIGO.NS,Services,nifty500
International Gemological Institute,IGIL.NS,Services,nifty500
Inventurus Knowledge Solutions,IKS.NS,Information Technology,nifty500
Ipca Laboratories,IPCALAB.NS,Healthcare,nifty500
J.K. Cement,JKCEMENT.NS,Construction Materials,nifty500
JBM Auto,JBMA.NS,Automobile and Auto Components,nifty500
JK Tyre & Industries,JKTYRE.NS,Automobile and Auto Components,nifty500
JM Financial,JMFINANCIL.NS,Financial Services,nifty500
JSW Cement,JSWCEMENT.NS,Construction Materials,nifty500
JSW Dulux,JSWDULUX.NS,Consumer Durables,nifty500
JSW Energy,JSWENERGY.NS,Power,nifty500
JSW Infrastructure,JSWINFRA.NS,Services,nifty500
JSW Steel,JSWSTEEL.NS,Metals & Mining,nifty500
Jain Resource Recycling,JAINREC.NS,Metals & Mining,nifty500
Jaiprakash Power Ventures,JPPOWER.NS,Power,nifty500
Jammu & Kashmir Bank,J&KBANK.NS,Financial Services,nifty500
Jindal Saw,JINDALSAW.NS,Capital Goods,nifty500
Jindal Stainless,JSL.NS,Metals & Mining,nifty500
Jindal Steel,JINDALSTEL.NS,Metals & Mining,nifty500
Jio Financial Services,JIOFIN.NS,Financial Services,nifty500
Jubilant Foodworks,JUBLFOOD.NS,Consumer Services,nifty500
Jubilant Ingrevia,JUBLINGREA.NS,Chemicals,nifty500
Jubilant Pharmova,JUBLPHARMA.NS,Healthcare,nifty500
Jupiter Wagons,JWL.NS,Capital Goods,nifty500
Jyoti CNC Automation,JYOTICNC.NS,Capital Goods,nifty500
K.P.R. Mill,KPRMILL.NS,Textiles,nifty500
KEI Industries,KEI.NS,Capital Goods,nifty500
KPIT Technologies,KPITTECH.NS,Information Technology,nifty500
Kajaria Ceramics,KAJARIACER.NS,Consumer Durables,nifty500
Kalpataru Projects International,KPIL.NS,Construction,nifty500
Kalyan Jewellers India,KALYANKJIL.NS,Consumer Durables,nifty500
Karur Vysya Bank,KARURVYSYA.NS,Financial Services,nifty500
Kaynes Technology India,KAYNES.NS,Capital Goods,nifty500
Kec International,KEC.NS,Construction,nifty500
Kfin Technologies,KFINTECH.NS,Financial Services,nifty500
Kirloskar Oil Eng,KIRLOSENG.NS,Capital Goods,nifty500
Kotak Mahindra Bank,KOTAKBANK.NS,Financial Services,nifty500
Krishna Institute of Medical Sciences,KIMS.NS,Healthcare,nifty500
L&T Finance,LTF.NS,Financial Services,nifty500
L&T Technology Services,LTTS.NS,Information Technology,nifty500
LG Electronics India,LGEINDIA.NS,Consumer Durables,nifty500
LIC Housing Finance,LICHSGFIN.NS,Financial Services,nifty500
LT Foods,LTFOODS.NS,Fast Moving Consumer Goods,nifty500
LTM,LTM.NS,Information Technology,nifty500
Larsen & Toubro,LT.NS,Construction,nifty500
Latent View Analytics,LATENTVIEW.NS,Information Technology,nifty500
Laurus Labs,LAURUSLABS.NS,Healthcare,nifty500
Leela Palaces Hotels & Resorts,THELEELA.NS,Consumer Services,nifty500
Lemon Tree Hotels,LEMONTREE.NS,Consumer Services,nifty500
Lenskart Solutions,LENSKART.NS,Consumer Services,nifty500
Life Insurance Corporation of India,LICI.NS,Financial Services,nifty500
Linde India,LINDEINDIA.NS,Chemicals,nifty500
Lloyds Metals And Energy,LLOYDSME.NS,Metals & Mining,nifty500
Lodha Developers,LODHA.NS,Realty,nifty500
Lupin,LUPIN.NS,Healthcare,nifty500
MMTC,MMTC.NS,Services,nifty500
MRF,MRF.NS,Automobile and Auto Components,nifty500
Mahanagar Gas,MGL.NS,Oil Gas & Consumable Fuels,nifty500
Mahindra & Mahindra Financial Services,M&MFIN.NS,Financial Services,nifty500
Mahindra & Mahindra,M&M.NS,Automobile and Auto Components,nifty500
Manappuram Finance,MANAPPURAM.NS,Financial Services,nifty500
Mangalore Refinery & Petrochemicals,MRPL.NS,Oil Gas & Consumable Fuels,nifty500
Mankind Pharma,MANKIND.NS,Healthcare,nifty500
Marico,MARICO.NS,Fast Moving Consumer Goods,nifty500
Maruti Suzuki India,MARUTI.NS,Automobile and Auto Components,nifty500
Max Financial Services,MFSL.NS,Financial Services,nifty500
Max Healthcare Institute,MAXHEALTH.NS,Healthcare,nifty500
Mazagoan Dock Shipbuilders,MAZDOCK.NS,Capital Goods,nifty500
Meesho,MEESHO.NS,Consumer Services,nifty500
Minda Corporation,MINDACORP.NS,Automobile and Auto Components,nifty500
Motherson Sumi Wiring India,MSUMI.NS,Automobile and Auto Components,nifty500
Motilal Oswal Financial Services,MOTILALOFS.NS,Financial Services,nifty500
MphasiS,MPHASIS.NS,Information Technology,nifty500
Multi Commodity Exchange of India,MCX.NS,Financial Services,nifty500
Muthoot Finance,MUTHOOTFIN.NS,Financial Services,nifty500
NATCO Pharma,NATCOPHARM.NS,Healthcare,nifty500
NBCC (India),NBCC.NS,Construction,nifty500
NCC,NCC.NS,Construction,nifty500
NHPC,NHPC.NS,Power,nifty500
NLC India,NLCINDIA.NS,Power,nifty500
NMDC,NMDC.NS,Metals & Mining,nifty500
NMDC Steel,NSLNISP.NS,Metals & Mining,nifty500
NTPC Green Energy,NTPCGREEN.NS,Power,nifty500
NTPC,NTPC.NS,Power,nifty500
Narayana Hrudayalaya,NH.NS,Healthcare,nifty500
National Aluminium Co.,NATIONALUM.NS,Metals & Mining,nifty500
Nava,NAVA.NS,Power,nifty500
Navin Fluorine International,NAVINFLUOR.NS,Chemicals,nifty500
Nestle India,NESTLEIND.NS,Fast Moving Consumer Goods,nifty500
Netweb Technologies India,NETWEB.NS,Information Technology,nifty500
Neuland Laboratories,NEULANDLAB.NS,Healthcare,nifty500
Newgen Software Technologies,NEWGEN.NS,Information Technology,nifty500
Nippon Life India Asset Management,NAM-INDIA.NS,Financial Services,nifty500
Niva Bupa Health Insurance Company,NIVABUPA.NS,Financial Services,nifty500
Nuvama Wealth Management,NUVAMA.NS,Financial Services,nifty500
Nuvoco Vistas Corporation,NUVOCO.NS,Construction Materials,nifty500
Oberoi Realty,OBEROIRLTY.NS,Realty,nifty500
Oil & Natural Gas Corporation,ONGC.NS,Oil Gas & Consumable Fuels,nifty500
Oil India,OIL.NS,Oil Gas & Consumable Fuels,nifty500
Ola Electric Mobility,OLAELEC.NS,Automobile and Auto Components,nifty500
Olectra Greentech,OLECTRA.NS,Automobile and Auto Components,nifty500
One 97 Communications,PAYTM.NS,Financial Services,nifty500
Onesource Specialty Pharma,ONESOURCE.NS,Healthcare,nifty500
Oracle Financial Services Software,OFSS.NS,Information Technology,nifty500
PB Fintech,POLICYBZR.NS,Financial Services,nifty500
PCBL Chemical,PCBL.NS,Chemicals,nifty500
PG Electroplast,PGEL.NS,Consumer Durables,nifty500
PI Industries,PIIND.NS,Chemicals,nifty500
PNB Housing Finance,PNBHOUSING.NS,Financial Services,nifty500
PTC Industries,PTCIL.NS,Capital Goods,nifty500
PVR INOX,PVRINOX.NS,Media Entertainment & Publication,nifty500
Page Industries,PAGEIND.NS,Textiles,nifty500
Paradeep Phosphates,PARADEEP.NS,Chemicals,nifty500
Patanjali Foods,PATANJALI.NS,Fast Moving Consumer Goods,nifty500
Persistent Systems,PERSISTENT.NS,Information Technology,nifty500
Petronet LNG,PETRONET.NS,Oil Gas & Consumable Fuels,nifty500
Pfizer,PFIZER.NS,Healthcare,nifty500
Phoenix Mills,PHOENIXLTD.NS,Realty,nifty500
Physicswallah,PWL.NS,Consumer Services,nifty500
Pidilite Industries,PIDILITIND.NS,Chemicals,nifty500
Pine Labs,PINELABS.NS,Financial Services,nifty500
Piramal Finance,PIRAMALFIN.NS,Financial Services,nifty500
Piramal Pharma,PPLPHARMA.NS,Healthcare,nifty500
Poly Medicure,POLYMED.NS,Healthcare,nifty500
Polycab India,POLYCAB.NS,Capital Goods,nifty500
Poonawalla Fincorp,POONAWALLA.NS,Financial Services,nifty500
Power Finance Corporation,PFC.NS,Financial Services,nifty500
Power Grid Corporation of India,POWERGRID.NS,Power,nifty500
Premier Energies,PREMIERENE.NS,Capital Goods,nifty500
Prestige Estates Projects,PRESTIGE.NS,Realty,nifty500
Prime Focus,PFOCUS.NS,Media Entertainment & Publication,nifty500
Punjab National Bank,PNB.NS,Financial Services,nifty500
R R Kabel,RRKABEL.NS,Capital Goods,nifty500
RBL Bank,RBLBANK.NS,Financial Services,nifty500
REC,RECLTD.NS,Financial Services,nifty500
RHI MAGNESITA INDIA LTD.,RHIM.NS,Capital Goods,nifty500
RITES,RITES.NS,Construction,nifty500
Radico Khaitan,RADICO.NS,Fast Moving Consumer Goods,nifty500
Rail Vikas Nigam,RVNL.NS,Construction,nifty500
Railtel Corporation Of India,RAILTEL.NS,Telecommunication,nifty500
Rainbow Childrens Medicare,RAINBOW.NS,Healthcare,nifty500
Ramkrishna Forgings,RKFORGE.NS,Automobile and Auto Components,nifty500
Redington,REDINGTON.NS,Services,nifty500
Reliance Industries,RELIANCE.NS,Oil Gas & Consumable Fuels,nifty500
Reliance Power,RPOWER.NS,Power,nifty500
SBFC Finance,SBFC.NS,Financial Services,nifty500
SBI Cards and Payment Services,SBICARD.NS,Financial Services,nifty500
SBI Life Insurance Company,SBILIFE.NS,Financial Services,nifty500
SJVN,SJVN.NS,Power,nifty500
SRF,SRF.NS,Chemicals,nifty500
Sagility,SAGILITY.NS,Information Technology,nifty500
Sai Life Sciences,SAILIFE.NS,Healthcare,nifty500
Sammaan Capital,SAMMAANCAP.NS,Financial Services,nifty500
Samvardhana Motherson International,MOTHERSON.NS,Automobile and Auto Components,nifty500
Sapphire Foods India,SAPPHIRE.NS,Consumer Services,nifty500
Sarda Energy and Minerals,SARDAEN.NS,Metals & Mining,nifty500
Saregama India,SAREGAMA.NS,Media Entertainment & Publication,nifty500
Schaeffler India,SCHAEFFLER.NS,Automobile and Auto Components,nifty500
Schneider Electric Infrastructure,SCHNEIDER.NS,Capital Goods,nifty500
Shipping Corporation of India,SCI.NS,Services,nifty500
Shree Cement,SHREECEM.NS,Construction Materials,nifty500
Shriram Finance,SHRIRAMFIN.NS,Financial Services,nifty500
Shyam Metalics and Energy,SHYAMMETL.NS,Capital Goods,nifty500
Siemens Energy India,ENRIN.NS,Capital Goods,nifty500
Siemens,SIEMENS.NS,Capital Goods,nifty500
Signatureglobal (India),SIGNATURE.NS,Realty,nifty500
Sobha,SOBHA.NS,Realty,nifty500
Solar Industries India,SOLARINDS.NS,Chemicals,nifty500
Sona BLW Precision Forgings,SONACOMS.NS,Automobile and Auto Components,nifty500
Sonata Software,SONATSOFTW.NS,Information Technology,nifty500
Star Health and Allied Insurance Company,STARHEALTH.NS,Financial Services,nifty500
State Bank of India,SBIN.NS,Financial Services,nifty500
Steel Authority of India,SAIL.NS,Metals & Mining,nifty500
Sumitomo Chemical India,SUMICHEM.NS,Chemicals,nifty500
Sun Pharmaceutical Industries,SUNPHARMA.NS,Healthcare,nifty500
Sun TV Network,SUNTV.NS,Media Entertainment & Publication,nifty500
Sundaram Finance,SUNDARMFIN.NS,Financial Services,nifty500
Supreme Industries,SUPREMEIND.NS,Capital Goods,nifty500
Supreme Petrochem,SPLPETRO.NS,Chemicals,nifty500
Suzlon Energy,SUZLON.NS,Capital Goods,nifty500
Swan Corp,SWANCORP.NS,Chemicals,nifty500
Swiggy,SWIGGY.NS,Consumer Services,nifty500
Syngene International,SYNGENE.NS,Healthcare,nifty500
Syrma SGS Technology,SYRMA.NS,Capital Goods,nifty500
TBO Tek,TBOTEK.NS,Consumer Services,nifty500
TVS Motor Company,TVSMOTOR.NS,Automobile and Auto Components,nifty500
Tata Capital,TATACAP.NS,Financial Services,nifty500
Tata Chemicals,TATACHEM.NS,Chemicals,nifty500
Tata Communications,TATACOMM.NS,Telecommunication,nifty500
Tata Consultancy Services,TCS.NS,Information Technology,nifty500
Tata Consumer Products,TATACONSUM.NS,Fast Moving Consumer Goods,nifty500
Tata Elxsi,TATAELXSI.NS,Information Technology,nifty500
Tata Investment Corporation,TATAINVEST.NS,Financial Services,nifty500
Tata Motors,TMCV.NS,Capital Goods,nifty500
Tata Motors Passenger Vehicles,TMPV.NS,Automobile and Auto Components,nifty500
Tata Power Co.,TATAPOWER.NS,Power,nifty500
Tata Steel,TATASTEEL.NS,Metals & Mining,nifty500
Tata Technologies,TATATECH.NS,Information Technology,nifty500
Tata Teleservices (Maharashtra),TTML.NS,Telecommunication,nifty500
Tech Mahindra,TECHM.NS,Information Technology,nifty500
Techno Electric & Engineering Company,TECHNOE.NS,Construction,nifty500
Tega Industries,TEGA.NS,Capital Goods,nifty500
Tejas Networks,TEJASNET.NS,Telecommunication,nifty500
Tenneco Clean Air India,TENNIND.NS,Automobile and Auto Components,nifty500
The New India Assurance Company,NIACL.NS,Financial Services,nifty500
The Ramco Cements,RAMCOCEM.NS,Construction Materials,nifty500
Thermax,THERMAX.NS,Capital Goods,nifty500
Timken India,TIMKEN.NS,Capital Goods,nifty500
Titagarh Rail Systems,TITAGARH.NS,Capital Goods,nifty500
Titan Company,TITAN.NS,Consumer Durables,nifty500
Torrent Pharmaceuticals,TORNTPHARM.NS,Healthcare,nifty500
Torrent Power,TORNTPOWER.NS,Power,nifty500
Transformers And Rectifiers (India),TARIL.NS,Capital Goods,nifty500
Travel Food Services,TRAVELFOOD.NS,Consumer Services,nifty500
Trent,TRENT.NS,Consumer Services,nifty500
Trident,TRIDENT.NS,Textiles,nifty500
Triveni Turbine,TRITURBINE.NS,Capital Goods,nifty500
Tube Investments of India,TIINDIA.NS,Automobile and Auto Components,nifty500
UCO Bank,UCOBANK.NS,Financial Services,nifty500
UNO Minda,UNOMINDA.NS,Automobile and Auto Components,nifty500
UPL,UPL.NS,Chemicals,nifty500
UTI Asset Management Company,UTIAMC.NS,Financial Services,nifty500
UltraTech Cement,ULTRACEMCO.NS,Construction Materials,nifty500
Union Bank of India,UNIONBANK.NS,Financial Services,nifty500
United Breweries,UBL.NS,Fast Moving Consumer Goods,nifty500
United Spirits,UNITDSPR.NS,Fast Moving Consumer Goods,nifty500
Urban Company,URBANCO.NS,Consumer Services,nifty500
Usha Martin,USHAMART.NS,Capital Goods,nifty500
Vardhman Textiles,VTL.NS,Textiles,nifty500
Varun Beverages,VBL.NS,Fast Moving Consumer Goods,nifty500
Vedanta,VEDL.NS,Metals & Mining,nifty500
Vijaya Diagnostic Centre,VIJAYA.NS,Healthcare,nifty500
Vishal Mega Mart,VMM.NS,Consumer Services,nifty500
Vodafone Idea,IDEA.NS,Telecommunication,nifty500
Voltas,VOLTAS.NS,Consumer Durables,nifty500
Waaree Energies,WAAREEENER.NS,Capital Goods,nifty500
Welspun Corp,WELCORP.NS,Capital Goods,nifty500
Welspun Living,WELSPUNLIV.NS,Textiles,nifty500
Whirlpool of India,WHIRLPOOL.NS,Consumer Durables,nifty500
Wipro,WIPRO.NS,Information Technology,nifty500
Wockhardt,WOCKPHARMA.NS,Healthcare,nifty500
Yes Bank,YESBANK.NS,Financial Services,nifty500
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,Automobile and Auto Components,nifty500
Zee Entertainment Enterprises,ZEEL.NS,Media Entertainment & Publication,nifty500
Zen Technologies,ZENTEC.NS,Capital Goods,nifty500
Zensar Technolgies,ZENSARTECH.NS,Information Technology,nifty500
Zydus Lifesciences,ZYDUSLIFE.NS,Healthcare,nifty500
Zydus Wellness,ZYDUSWELL.NS,Fast Moving Consumer Goods,nifty500
eClerx Services,ECLERX.NS,Services,nifty500
